Vdiode ,v("/Vd" ?result "dc") (V),i("/D0/plus" ?result "dc") (A)
0.000,0.000,0.000
10.00E-3,10.00E-3,10.18E-15
20.00E-3,20.00E-3,20.30E-15
30.00E-3,30.00E-3,30.39E-15
40.00E-3,40.00E-3,40.44E-15
50.00E-3,50.00E-3,50.48E-15
60.00E-3,60.00E-3,60.51E-15
70.00E-3,70.00E-3,70.52E-15
80.00E-3,80.00E-3,80.53E-15
90.00E-3,90.00E-3,90.54E-15
100.0E-3,100.0E-3,100.5E-15
110.0E-3,110.0E-3,110.6E-15
120.0E-3,120.0E-3,120.6E-15
130.0E-3,130.0E-3,130.6E-15
140.0E-3,140.0E-3,140.6E-15
150.0E-3,150.0E-3,150.6E-15
160.0E-3,160.0E-3,160.6E-15
170.0E-3,170.0E-3,170.6E-15
180.0E-3,180.0E-3,180.6E-15
190.0E-3,190.0E-3,190.7E-15
200.0E-3,200.0E-3,200.7E-15
210.0E-3,210.0E-3,210.8E-15
220.0E-3,220.0E-3,220.9E-15
230.0E-3,230.0E-3,231.0E-15
240.0E-3,240.0E-3,241.3E-15
250.0E-3,250.0E-3,251.6E-15
260.0E-3,260.0E-3,262.2E-15
270.0E-3,270.0E-3,272.9E-15
280.0E-3,280.0E-3,284.0E-15
290.0E-3,290.0E-3,295.7E-15
300.0E-3,300.0E-3,308.1E-15
310.0E-3,310.0E-3,321.7E-15
320.0E-3,320.0E-3,337.0E-15
330.0E-3,330.0E-3,354.7E-15
340.0E-3,340.0E-3,376.1E-15
350.0E-3,350.0E-3,402.9E-15
360.0E-3,360.0E-3,437.7E-15
370.0E-3,370.0E-3,484.1E-15
380.0E-3,380.0E-3,547.6E-15
390.0E-3,390.0E-3,636.5E-15
400.0E-3,400.0E-3,762.6E-15
410.0E-3,410.0E-3,943.6E-15
420.0E-3,420.0E-3,1.205E-12
430.0E-3,430.0E-3,1.586E-12
440.0E-3,440.0E-3,2.141E-12
450.0E-3,450.0E-3,2.953E-12
460.0E-3,460.0E-3,4.145E-12
470.0E-3,470.0E-3,5.893E-12
480.0E-3,480.0E-3,8.463E-12
490.0E-3,490.0E-3,12.24E-12
500.0E-3,500.0E-3,17.80E-12
510.0E-3,510.0E-3,25.97E-12
520.0E-3,520.0E-3,38.00E-12
530.0E-3,530.0E-3,55.70E-12
540.0E-3,540.0E-3,81.75E-12
550.0E-3,550.0E-3,120.1E-12
560.0E-3,560.0E-3,176.5E-12
570.0E-3,570.0E-3,259.6E-12
580.0E-3,580.0E-3,381.9E-12
590.0E-3,590.0E-3,561.9E-12
600.0E-3,600.0E-3,826.8E-12
610.0E-3,610.0E-3,1.217E-9
620.0E-3,620.0E-3,1.791E-9
630.0E-3,630.0E-3,2.636E-9
640.0E-3,640.0E-3,3.880E-9
650.0E-3,650.0E-3,5.711E-9
660.0E-3,660.0E-3,8.407E-9
670.0E-3,670.0E-3,12.37E-9
680.0E-3,680.0E-3,18.22E-9
690.0E-3,690.0E-3,26.81E-9
700.0E-3,700.0E-3,39.47E-9
710.0E-3,710.0E-3,58.10E-9
720.0E-3,720.0E-3,85.52E-9
730.0E-3,730.0E-3,125.9E-9
740.0E-3,740.0E-3,185.3E-9
750.0E-3,750.0E-3,272.8E-9
760.0E-3,760.0E-3,401.5E-9
770.0E-3,770.0E-3,591.1E-9
780.0E-3,780.0E-3,870.1E-9
790.0E-3,790.0E-3,1.281E-6
800.0E-3,800.0E-3,1.885E-6
810.0E-3,810.0E-3,2.775E-6
820.0E-3,820.0E-3,4.085E-6
830.0E-3,830.0E-3,6.013E-6
840.0E-3,840.0E-3,8.852E-6
850.0E-3,850.0E-3,13.03E-6
860.0E-3,860.0E-3,19.18E-6
870.0E-3,870.0E-3,28.23E-6
880.0E-3,880.0E-3,41.56E-6
890.0E-3,890.0E-3,61.18E-6
900.0E-3,900.0E-3,90.06E-6
910.0E-3,910.0E-3,132.6E-6
920.0E-3,920.0E-3,195.1E-6
930.0E-3,930.0E-3,287.2E-6
940.0E-3,940.0E-3,422.8E-6
950.0E-3,950.0E-3,622.4E-6
960.0E-3,960.0E-3,916.2E-6
970.0E-3,970.0E-3,1.349E-3
980.0E-3,980.0E-3,1.985E-3
990.0E-3,990.0E-3,2.922E-3
1.000,1.000,4.302E-3
