freq (Hz),v("/A" ?result "ac") (V)
1.000,4.998
300.0E3,5.001
600.0E3,5.012
900.0E3,5.030
1.200E6,5.054
1.500E6,5.086
1.800E6,5.124
2.100E6,5.169
2.400E6,5.221
2.700E6,5.279
3.000E6,5.343
3.300E6,5.412
3.600E6,5.488
3.900E6,5.569
4.200E6,5.655
4.500E6,5.746
4.800E6,5.842
5.100E6,5.942
5.400E6,6.046
5.700E6,6.155
6.000E6,6.268
6.300E6,6.384
6.600E6,6.504
6.900E6,6.627
7.200E6,6.753
7.500E6,6.883
7.800E6,7.015
8.100E6,7.149
8.400E6,7.287
8.700E6,7.427
9.000E6,7.569
9.300E6,7.713
9.600E6,7.859
9.900E6,8.008
10.20E6,8.158
10.50E6,8.310
10.80E6,8.464
11.10E6,8.619
11.40E6,8.776
11.70E6,8.934
12.00E6,9.094
12.30E6,9.255
12.60E6,9.418
12.90E6,9.581
13.20E6,9.746
13.50E6,9.913
13.80E6,10.08
14.10E6,10.25
14.40E6,10.42
14.70E6,10.59
15.00E6,10.76
15.30E6,10.93
15.60E6,11.10
15.90E6,11.28
16.20E6,11.45
16.50E6,11.63
16.80E6,11.81
17.10E6,11.98
17.40E6,12.16
17.70E6,12.34
18.00E6,12.52
18.30E6,12.70
18.60E6,12.88
18.90E6,13.06
19.20E6,13.24
19.50E6,13.43
19.80E6,13.61
20.10E6,13.80
20.40E6,13.98
20.70E6,14.17
21.00E6,14.35
21.30E6,14.54
21.60E6,14.73
21.90E6,14.91
22.20E6,15.10
22.50E6,15.29
22.80E6,15.48
23.10E6,15.67
23.40E6,15.86
23.70E6,16.06
24.00E6,16.25
24.30E6,16.44
24.60E6,16.63
24.90E6,16.83
25.20E6,17.02
25.50E6,17.22
25.80E6,17.41
26.10E6,17.61
26.40E6,17.80
26.70E6,18.00
27.00E6,18.20
27.30E6,18.40
27.60E6,18.60
27.90E6,18.80
28.20E6,19.00
28.50E6,19.20
28.80E6,19.40
29.10E6,19.60
29.40E6,19.80
29.70E6,20.00
30.00E6,20.21
30.30E6,20.41
30.60E6,20.62
30.90E6,20.82
31.20E6,21.03
31.50E6,21.23
31.80E6,21.44
32.10E6,21.65
32.40E6,21.86
32.70E6,22.06
33.00E6,22.27
33.30E6,22.48
33.60E6,22.69
33.90E6,22.90
34.20E6,23.12
34.50E6,23.33
34.80E6,23.54
35.10E6,23.75
35.40E6,23.97
35.70E6,24.18
36.00E6,24.40
36.30E6,24.62
36.60E6,24.83
36.90E6,25.05
37.20E6,25.27
37.50E6,25.49
37.80E6,25.71
38.10E6,25.93
38.40E6,26.15
38.70E6,26.37
39.00E6,26.59
39.30E6,26.81
39.60E6,27.04
39.90E6,27.26
40.20E6,27.48
40.50E6,27.71
40.80E6,27.94
41.10E6,28.16
41.40E6,28.39
41.70E6,28.62
42.00E6,28.85
42.30E6,29.08
42.60E6,29.31
42.90E6,29.54
43.20E6,29.77
43.50E6,30.01
43.80E6,30.24
44.10E6,30.48
44.40E6,30.71
44.70E6,30.95
45.00E6,31.19
45.30E6,31.42
45.60E6,31.66
45.90E6,31.90
46.20E6,32.14
46.50E6,32.38
46.80E6,32.63
47.10E6,32.87
47.40E6,33.11
47.70E6,33.36
48.00E6,33.60
48.30E6,33.85
48.60E6,34.10
48.90E6,34.35
49.20E6,34.60
49.50E6,34.85
49.80E6,35.10
50.10E6,35.35
50.40E6,35.61
50.70E6,35.86
51.00E6,36.11
51.30E6,36.37
51.60E6,36.63
51.90E6,36.89
52.20E6,37.15
52.50E6,37.41
52.80E6,37.67
53.10E6,37.93
53.40E6,38.19
53.70E6,38.46
54.00E6,38.73
54.30E6,38.99
54.60E6,39.26
54.90E6,39.53
55.20E6,39.80
55.50E6,40.07
55.80E6,40.34
56.10E6,40.62
56.40E6,40.89
56.70E6,41.17
57.00E6,41.45
57.30E6,41.72
57.60E6,42.00
57.90E6,42.29
58.20E6,42.57
58.50E6,42.85
58.80E6,43.14
59.10E6,43.42
59.40E6,43.71
59.70E6,44.00
60.00E6,44.29
60.30E6,44.58
60.60E6,44.87
60.90E6,45.17
61.20E6,45.46
61.50E6,45.76
61.80E6,46.06
62.10E6,46.36
62.40E6,46.66
62.70E6,46.96
63.00E6,47.27
63.30E6,47.57
63.60E6,47.88
63.90E6,48.19
64.20E6,48.50
64.50E6,48.81
64.80E6,49.12
65.10E6,49.44
65.40E6,49.75
65.70E6,50.07
66.00E6,50.39
66.30E6,50.71
66.60E6,51.04
66.90E6,51.36
67.20E6,51.69
67.50E6,52.01
67.80E6,52.34
68.10E6,52.68
68.40E6,53.01
68.70E6,53.35
69.00E6,53.68
69.30E6,54.02
69.60E6,54.36
69.90E6,54.70
70.20E6,55.05
70.50E6,55.40
70.80E6,55.74
71.10E6,56.09
71.40E6,56.45
71.70E6,56.80
72.00E6,57.16
72.30E6,57.52
72.60E6,57.88
72.90E6,58.24
73.20E6,58.60
73.50E6,58.97
73.80E6,59.34
74.10E6,59.71
74.40E6,60.08
74.70E6,60.46
75.00E6,60.84
75.30E6,61.22
75.60E6,61.60
75.90E6,61.98
76.20E6,62.37
76.50E6,62.76
76.80E6,63.15
77.10E6,63.55
77.40E6,63.94
77.70E6,64.34
78.00E6,64.74
78.30E6,65.15
78.60E6,65.56
78.90E6,65.97
79.20E6,66.38
79.50E6,66.79
79.80E6,67.21
80.10E6,67.63
80.40E6,68.05
80.70E6,68.48
81.00E6,68.91
81.30E6,69.34
81.60E6,69.78
81.90E6,70.21
82.20E6,70.65
82.50E6,71.10
82.80E6,71.55
83.10E6,72.00
83.40E6,72.45
83.70E6,72.90
84.00E6,73.36
84.30E6,73.83
84.60E6,74.29
84.90E6,74.76
85.20E6,75.23
85.50E6,75.71
85.80E6,76.19
86.10E6,76.67
86.40E6,77.16
86.70E6,77.65
87.00E6,78.14
87.30E6,78.64
87.60E6,79.14
87.90E6,79.65
88.20E6,80.16
88.50E6,80.67
88.80E6,81.18
89.10E6,81.71
89.40E6,82.23
89.70E6,82.76
90.00E6,83.29
90.30E6,83.83
90.60E6,84.37
90.90E6,84.92
91.20E6,85.47
91.50E6,86.02
91.80E6,86.58
92.10E6,87.14
92.40E6,87.71
92.70E6,88.28
93.00E6,88.86
93.30E6,89.44
93.60E6,90.03
93.90E6,90.62
94.20E6,91.22
94.50E6,91.82
94.80E6,92.43
95.10E6,93.04
95.40E6,93.66
95.70E6,94.28
96.00E6,94.91
96.30E6,95.55
96.60E6,96.19
96.90E6,96.83
97.20E6,97.48
97.50E6,98.14
97.80E6,98.80
98.10E6,99.47
98.40E6,100.1
98.70E6,100.8
99.00E6,101.5
99.30E6,102.2
99.60E6,102.9
99.90E6,103.6
100.2E6,104.3
100.5E6,105.1
100.8E6,105.8
101.1E6,106.5
101.4E6,107.3
101.7E6,108.0
102.0E6,108.8
102.3E6,109.5
102.6E6,110.3
102.9E6,111.1
103.2E6,111.9
103.5E6,112.7
103.8E6,113.5
104.1E6,114.3
104.4E6,115.1
104.7E6,115.9
105.0E6,116.8
105.3E6,117.6
105.6E6,118.5
105.9E6,119.3
106.2E6,120.2
106.5E6,121.1
106.8E6,122.0
107.1E6,122.9
107.4E6,123.8
107.7E6,124.7
108.0E6,125.6
108.3E6,126.6
108.6E6,127.5
108.9E6,128.5
109.2E6,129.5
109.5E6,130.5
109.8E6,131.5
110.1E6,132.5
110.4E6,133.5
110.7E6,134.5
111.0E6,135.6
111.3E6,136.6
111.6E6,137.7
111.9E6,138.8
112.2E6,139.9
112.5E6,141.0
112.8E6,142.1
113.1E6,143.2
113.4E6,144.4
113.7E6,145.6
114.0E6,146.7
114.3E6,147.9
114.6E6,149.1
114.9E6,150.4
115.2E6,151.6
115.5E6,152.9
115.8E6,154.1
116.1E6,155.4
116.4E6,156.7
116.7E6,158.1
117.0E6,159.4
117.3E6,160.8
