freq (Hz),v("/A" ?result "ac") (V)
1.000,10.02E-6
300.0E3,188.5E-3
600.0E3,377.0E-3
900.0E3,565.5E-3
1.200E6,754.0E-3
1.500E6,942.6E-3
1.800E6,1.131
2.100E6,1.320
2.400E6,1.508
2.700E6,1.697
3.000E6,1.886
3.300E6,2.074
3.600E6,2.263
3.900E6,2.452
4.200E6,2.641
4.500E6,2.830
4.800E6,3.019
5.100E6,3.208
5.400E6,3.397
5.700E6,3.586
6.000E6,3.775
6.300E6,3.965
6.600E6,4.154
6.900E6,4.344
7.200E6,4.533
7.500E6,4.723
7.800E6,4.913
8.100E6,5.103
8.400E6,5.293
8.700E6,5.483
9.000E6,5.673
9.300E6,5.863
9.600E6,6.054
9.900E6,6.245
10.20E6,6.435
10.50E6,6.626
10.80E6,6.817
11.10E6,7.008
11.40E6,7.200
11.70E6,7.391
12.00E6,7.583
12.30E6,7.775
12.60E6,7.967
12.90E6,8.159
13.20E6,8.351
13.50E6,8.544
13.80E6,8.736
14.10E6,8.929
14.40E6,9.122
14.70E6,9.316
15.00E6,9.509
15.30E6,9.703
15.60E6,9.897
15.90E6,10.09
16.20E6,10.29
16.50E6,10.48
16.80E6,10.67
17.10E6,10.87
17.40E6,11.06
17.70E6,11.26
18.00E6,11.46
18.30E6,11.65
18.60E6,11.85
18.90E6,12.05
19.20E6,12.24
19.50E6,12.44
19.80E6,12.64
20.10E6,12.83
20.40E6,13.03
20.70E6,13.23
21.00E6,13.43
21.30E6,13.63
21.60E6,13.83
21.90E6,14.03
22.20E6,14.23
22.50E6,14.43
22.80E6,14.63
23.10E6,14.83
23.40E6,15.03
23.70E6,15.23
24.00E6,15.43
24.30E6,15.63
24.60E6,15.83
24.90E6,16.04
25.20E6,16.24
25.50E6,16.44
25.80E6,16.65
26.10E6,16.85
26.40E6,17.06
26.70E6,17.26
27.00E6,17.47
27.30E6,17.67
27.60E6,17.88
27.90E6,18.09
28.20E6,18.29
28.50E6,18.50
28.80E6,18.71
29.10E6,18.92
29.40E6,19.13
29.70E6,19.33
30.00E6,19.54
30.30E6,19.75
30.60E6,19.96
