time (s),v("/Freq" ?result "tran") (FF),v("/VcoOut" ?result "tran") (V),v("/VcoVin" ?result "tran") (V)
0.000,0.000,0.000,-1.000
50.00E-6,0.000,156.5E-3,-999.9E-3
99.99E-6,0.000,309.1E-3,-999.8E-3
150.0E-6,0.000,454.1E-3,-999.7E-3
199.9E-6,0.000,587.9E-3,-999.6E-3
249.9E-6,0.000,707.2E-3,-999.5E-3
299.9E-6,0.000,809.1E-3,-999.4E-3
349.8E-6,0.000,891.1E-3,-999.3E-3
399.7E-6,0.000,951.1E-3,-999.2E-3
449.6E-6,0.000,987.7E-3,-999.1E-3
499.6E-6,0.000,1.000,-999.0E-3
549.5E-6,0.000,987.7E-3,-998.9E-3
599.3E-6,0.000,951.0E-3,-998.8E-3
649.2E-6,0.000,890.9E-3,-998.7E-3
699.1E-6,0.000,808.9E-3,-998.6E-3
749.0E-6,0.000,706.9E-3,-998.5E-3
798.8E-6,0.000,587.6E-3,-998.4E-3
848.6E-6,0.000,453.7E-3,-998.3E-3
898.5E-6,0.000,308.7E-3,-998.2E-3
948.3E-6,0.000,156.1E-3,-998.1E-3
998.1E-6,0.000,-352.2E-6,-998.0E-3
1.048E-3,0.000,-156.8E-3,-997.9E-3
1.098E-3,0.000,-309.4E-3,-997.8E-3
1.147E-3,0.000,-454.3E-3,-997.7E-3
1.197E-3,0.000,-588.1E-3,-997.6E-3
1.247E-3,0.000,-707.4E-3,-997.5E-3
1.297E-3,0.000,-809.3E-3,-997.4E-3
1.347E-3,0.000,-891.2E-3,-997.3E-3
1.396E-3,0.000,-951.2E-3,-997.2E-3
1.446E-3,0.000,-987.8E-3,-997.1E-3
1.496E-3,0.000,-1.000,-997.0E-3
1.545E-3,0.000,-987.6E-3,-996.9E-3
1.595E-3,0.000,-950.9E-3,-996.8E-3
1.645E-3,0.000,-890.8E-3,-996.7E-3
1.694E-3,0.000,-808.7E-3,-996.6E-3
1.744E-3,0.000,-706.7E-3,-996.5E-3
1.794E-3,0.000,-587.3E-3,-996.4E-3
1.843E-3,0.000,-453.4E-3,-996.3E-3
1.893E-3,0.000,-308.4E-3,-996.2E-3
1.943E-3,0.000,-155.8E-3,-996.1E-3
1.992E-3,502.0,47.44E-6,-996.0E-3
2.042E-3,502.0,156.5E-3,-995.9E-3
2.091E-3,502.0,309.1E-3,-995.8E-3
2.141E-3,502.0,454.1E-3,-995.7E-3
2.190E-3,502.0,587.9E-3,-995.6E-3
2.240E-3,502.0,707.2E-3,-995.5E-3
2.290E-3,502.0,809.1E-3,-995.4E-3
2.339E-3,502.0,891.1E-3,-995.3E-3
2.389E-3,502.0,951.1E-3,-995.2E-3
2.438E-3,502.0,987.7E-3,-995.1E-3
2.488E-3,502.0,1.000,-995.0E-3
2.537E-3,502.0,987.7E-3,-994.9E-3
2.587E-3,502.0,951.0E-3,-994.8E-3
2.636E-3,502.0,890.9E-3,-994.7E-3
2.686E-3,502.0,808.9E-3,-994.6E-3
2.735E-3,502.0,706.9E-3,-994.5E-3
2.785E-3,502.0,587.5E-3,-994.4E-3
2.834E-3,502.0,453.7E-3,-994.3E-3
2.883E-3,502.0,308.7E-3,-994.2E-3
2.933E-3,502.0,156.1E-3,-994.1E-3
2.982E-3,502.0,-355.5E-6,-994.0E-3
3.032E-3,502.0,-156.8E-3,-993.9E-3
3.081E-3,502.0,-309.4E-3,-993.8E-3
3.131E-3,502.0,-454.3E-3,-993.7E-3
3.180E-3,502.0,-588.1E-3,-993.6E-3
3.229E-3,502.0,-707.4E-3,-993.5E-3
3.279E-3,502.0,-809.3E-3,-993.4E-3
3.328E-3,502.0,-891.2E-3,-993.3E-3
3.377E-3,502.0,-951.2E-3,-993.2E-3
3.427E-3,502.0,-987.8E-3,-993.1E-3
3.476E-3,502.0,-1.000,-993.0E-3
3.525E-3,502.0,-987.6E-3,-992.9E-3
3.575E-3,502.0,-950.9E-3,-992.9E-3
3.624E-3,502.0,-890.8E-3,-992.8E-3
3.673E-3,502.0,-808.7E-3,-992.7E-3
3.722E-3,502.0,-706.7E-3,-992.6E-3
3.772E-3,502.0,-587.3E-3,-992.5E-3
3.821E-3,502.0,-453.4E-3,-992.4E-3
3.870E-3,502.0,-308.4E-3,-992.3E-3
3.919E-3,502.0,-155.8E-3,-992.2E-3
3.969E-3,506.0,47.45E-6,-992.1E-3
4.018E-3,506.0,156.5E-3,-992.0E-3
4.067E-3,506.0,309.1E-3,-991.9E-3
4.116E-3,506.0,454.1E-3,-991.8E-3
4.165E-3,506.0,587.9E-3,-991.7E-3
4.215E-3,506.0,707.2E-3,-991.6E-3
4.264E-3,506.0,809.1E-3,-991.5E-3
4.313E-3,506.0,891.1E-3,-991.4E-3
4.362E-3,506.0,951.1E-3,-991.3E-3
4.411E-3,506.0,987.7E-3,-991.2E-3
4.460E-3,506.0,1.000,-991.1E-3
4.509E-3,506.0,987.7E-3,-991.0E-3
