Vds ,1/deriv(IDC("/I0/Out")) Iref -0.0002 ,1/deriv(IDC("/I0/Out")) Iref -0.00016 ,1/deriv(IDC("/I0/Out")) Iref -0.00012 ,1/deriv(IDC("/I0/Out")) Iref -8e-05 ,1/deriv(IDC("/I0/Out")) Iref -4e-05 
-1.100,14.58E3,25.85E3,69.36E3,175.4E3,408.9E3
-1.000,12.00E3,18.92E3,44.74E3,136.6E3,338.1E3
-900.0E-3,10.17E3,14.61E3,29.02E3,97.29E3,279.7E3
-800.0E-3,8.803E3,11.80E3,20.06E3,61.28E3,228.2E3
-700.0E-3,7.753E3,9.858E3,14.90E3,36.44E3,177.0E3
-600.0E-3,6.921E3,8.448E3,11.72E3,22.96E3,120.2E3
-500.0E-3,6.247E3,7.382E3,9.615E3,15.96E3,66.45E3
-400.0E-3,5.689E3,6.549E3,8.131E3,12.02E3,34.45E3
-300.0E-3,5.221E3,5.881E3,7.034E3,9.584E3,20.31E3
-200.0E-3,4.823E3,5.335E3,6.193E3,7.946E3,13.82E3
-100.0E-3,4.480E3,4.879E3,5.528E3,6.775E3,10.36E3
