Vds ,IDC("/I0/Out") Iref -0.0002  (A),IDC("/I0/Out") Iref -0.00016  (A),IDC("/I0/Out") Iref -0.00012  (A),IDC("/I0/Out") Iref -8e-05  (A),IDC("/I0/Out") Iref -4e-05  (A)
-1.200,-180.7E-6,-152.5E-6,-118.2E-6,-80.24E-6,-41.00E-6
-1.100,-173.4E-6,-148.1E-6,-116.5E-6,-79.66E-6,-40.76E-6
-1.000,-164.8E-6,-142.4E-6,-114.0E-6,-78.88E-6,-40.46E-6
-900.0E-3,-154.8E-6,-135.3E-6,-110.2E-6,-77.76E-6,-40.11E-6
-800.0E-3,-143.3E-6,-126.6E-6,-104.9E-6,-75.94E-6,-39.66E-6
-700.0E-3,-130.5E-6,-116.3E-6,-97.90E-6,-72.93E-6,-39.09E-6
-600.0E-3,-116.2E-6,-104.5E-6,-89.24E-6,-68.32E-6,-38.21E-6
-500.0E-3,-100.5E-6,-91.11E-6,-78.83E-6,-61.89E-6,-36.58E-6
-400.0E-3,-83.29E-6,-76.12E-6,-66.65E-6,-53.52E-6,-33.52E-6
-300.0E-3,-64.66E-6,-59.51E-6,-52.69E-6,-43.18E-6,-28.50E-6
-200.0E-3,-44.58E-6,-41.30E-6,-36.94E-6,-30.82E-6,-21.29E-6
-100.0E-3,-23.02E-6,-21.46E-6,-19.38E-6,-16.43E-6,-11.81E-6
